PSTAR: Stopping Powers and Range Tables for Protons

PLASTIC SCINTILLATOR (vinyltoluene-based)                               

Kinetic   Total     CSDA      Projected 
Energy    Stp. Pow. Range     Range     
MeV       MeV cm2/g g/cm2     g/cm2     

7.500E+02 2.350E+00 2.178E+02 2.177E+02 
8.000E+02 2.306E+00 2.393E+02 2.392E+02 
8.500E+02 2.267E+00 2.612E+02 2.610E+02 
9.000E+02 2.234E+00 2.834E+02 2.832E+02 
9.500E+02 2.204E+00 3.059E+02 3.057E+02 
1.000E+03 2.178E+00 3.288E+02 3.286E+02 
1.500E+03 2.033E+00 5.678E+02 5.675E+02 
2.000E+03 1.981E+00 8.175E+02 8.171E+02 
2.500E+03 1.962E+00 1.071E+03 1.071E+03 
3.000E+03 1.959E+00 1.327E+03 1.326E+03 
4.000E+03 1.970E+00 1.836E+03 1.835E+03 
5.000E+03 1.989E+00 2.341E+03 2.341E+03 
6.000E+03 2.010E+00 2.841E+03 2.841E+03 
7.000E+03 2.030E+00 3.337E+03 3.336E+03 
8.000E+03 2.049E+00 3.827E+03 3.826E+03 
9.000E+03 2.067E+00 4.313E+03 4.312E+03 
1.000E+04 2.084E+00 4.794E+03 4.793E+03 
